SIGUN_NM,SIGUN_CD,STATION_NM_INFO,STATION_ID,STATION_MANAGE_NO,STATION_DIV_NM,JURISD_INST_NM,LOCPLC_LOC,ENG_STATION_NM_INFO,WGS84_LOGT,WGS84_LAT
가평군,41820,상천역입구,239000231,44106,노변정류장,경기도 가평군,경기도 가평군 청평면,Sangcheon Station ,127.4512,37.7722
연천군,41800,대광리주유소,238000323,43360,노변정류장,경기도 연천군,경기도 연천군 신서면,Daegwang-ri Gas Station,127.1097167,38.1901333
김포시,41570,수남초삼거리,232000449,35390,노변정류장,경기도 김포시,경기도 김포시 대곶면,Sunam Elementary School Samgeori ,126.5894667,37.6263333
김포시,41570,초원지리입구,232000447,35391,노변정류장,경기도 김포시,경기도 김포시 대곶면,Chowonjiri,126.6046333,37.6560667
김포시,41570,중흥s클래스후문,232000821,35733,,,,,126.6677167,37.6377167
김포시,41570,수남초삼거리,232000444,35393,노변정류장,경기도 김포시,경기도 김포시 대곶면,Sunam Elementary School Samgeori ,126.5919333,37.6287167
김포시,41570,마송우회도로사거리,232000485,35289,노변정류장,경기도 김포시,경기도 김포시 통진읍,Mason Detour Sageori,126.5988,37.68935
김포시,41570,뉴고려병원,232000545,35509,노변정류장,경기도 김포시,경기도 김포시 장기동,New Korea Hospital ,126.66025,37.64145
김포시,41570,향교마을,232000752,35664,노변정류장,경기도 김포시,경기도 김포시 걸포동,Hyanggyo Maeul ,126.70115,37.6452667
광주시,41610,움골,234000855,38710,노변정류장,경기도 광주시,,Umgol,127.2721833,37.4455
광주시,41610,양짓말,234000853,38711,노변정류장,경기도 광주시,,Yangjitmal ,127.2747,37.4454667
광주시,41610,양짓말,234000852,38712,노변정류장,경기도 광주시,,Yangjitmal,127.2748167,37.4455667
광주시,41610,하번천.박진이,234000851,38713,노변정류장,경기도 광주시,,"Habeoncheon, Park Jini",127.2798667,37.44235
안산시,41270,안산문화물의광장,217000487,18495,노변정류장,경기도 안산시,경기도 안산시 단원구 고잔동,Ansan Cultural Center - Water Square,126.8296,37.3135833
안산시,41270,안산문화글로벌광장,217000486,18496,노변정류장,경기도 안산시,경기도 안산시 단원구 고잔동,Ansan Cultural Global Square,126.8307333,37.3135667
여주시,41670,당우리,237000963,42737,노변정류장,경기도 여주시,,Dangu-ri,127.6737167,37.3452667
