시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
유치원,해오름유치원,경기도 화성시 영통로27번길 11-4,경기도 화성시 반월동 144-16번지,37.2327553,127.0628754,경기도 화성시 동부출장소 교통건설과,화성동탄경찰서,N,,,2025-08-25
초등학교,해운초등학교,경기도 화성시 서신면 궁평항로 1374-6,경기도 화성시 서신면 궁평리 162-4번지,37.14005466,126.7037872,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
어린이집,해창이레어린이집,경기도 화성시 팔탄면 해창길 28-5,경기도 화성시 팔탄면 해창리 37-25번지,37.11017059,126.8805408,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
초등학교,행정초등학교,경기도 화성시 향남읍 행정중앙1로 77,경기도 화성시 향남읍 행정리 493번지,37.12664265,126.9236168,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
유치원,향남유치원,,경기도 화성시 향남읍 하길리 335-6,37.10617105,126.9076284,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
초등학교,향남초등학교,경기도 화성시 향남읍 왜골길 7,경기도 화성시 향남읍 백토리 551번지,37.1196974,126.9429182,경기도 화성시 교통정책과,화성서부경찰서,N,,,2025-08-25
초등학교,동안초등학교,경기도 안양시 동안구 관평로 138번길 36(평촌동),경기도 안양시 동안구 평촌동 898-1,37.389569,126.964908,경기도 안양시청,안양동안경찰서,Y,4,,2025-12-22
초등학교,만안초등학교,경기도 안양시 만안구 안양로 384번길 13(안양동),경기도 안양시 만안구 안양동 848-1,37.406646,126.916792,경기도 안양시청,안양만안경찰서,Y,15,,2025-12-22
초등학교,명학초등학교,경기도 안양시 만안구 명학로 55(안양동),경기도 안양시 만안구 안양동 349-13,37.379976,126.934413,경기도 안양시청,안양만안경찰서,Y,18,,2025-12-22
초등학교,민백초등학교,경기도 안양시 동안구 부림로 22(평촌동),경기도 안양시 동안구 평촌동 933-1,37.386518,126.970022,경기도 안양시청,안양동안경찰서,Y,6,,2025-12-22
초등학교,박달초등학교,경기도 안양시 만안구 삼봉로 38(박달동),경기도 안양시 만안구 박달동 128-7,37.400779,126.902786,경기도 안양시청,안양만안경찰서,Y,10,,2025-12-22
초등학교,벌말초등학교,경기도 안양시 동안구 학의로 408번길 25(평촌동),경기도 안양시 동안구 평촌동 75-8,37.393800,126.980897,경기도 안양시청,안양동안경찰서,Y,5,,2025-12-22
초등학교,부안초등학교,경기도 안양시 동안구 달안로 113(관양동),경기도 안양시 동안구 관양동 1586-2,37.398356,126.954238,경기도 안양시청,안양동안경찰서,Y,5,,2025-12-22
