순번(NO),구분(LAMP),일련번호(SER),위도(LATITUDE),경도(LONGITUDE)
531,2,서판교로-2,37.3986663,127.0977514
532,2,서판교로-3,37.3987976,127.0984275
533,2,서판교로-4,37.39886685,127.0980539
534,2,서판교로-5,37.39838349,127.0984776
535,2,서판교로-6,37.39798565,127.0971157
536,2,서판교로-7,37.39812809,127.0968881
537,2,서판교로-8,37.39798077,127.0976579
538,2,서판교로-9,37.39910736,127.0976896
539,2,서판교로-10,37.39937594,127.0974605
540,2,서판교로-11,37.40179601,127.0934218
541,2,서판교로-12,37.40232731,127.0945562
542,2,서판교로-13,37.40242173,127.0951199
543,2,서판교로-14,37.40242173,127.0951199
544,2,서판교로-15,37.40209659,127.0950221
545,2,서판교로-16,37.40200016,127.0953734
546,2,서판교로-17,37.4025502,127.0954233
547,2,서판교로-18,37.4025502,127.0954233
548,2,서판교로-19,37.4028061,127.0958946
549,2,서판교로-20,37.40191461,127.0936124
550,2,서판교로-21,37.4021273,127.0931468
551,2,서판교로-22,37.39210776,127.0979202
552,2,서판교로-23,37.39210776,127.0979202
553,2,서판교로-24,37.39210776,127.0979202
554,2,서판교로-25,37.40266876,127.0932532
555,2,서판교로-26,37.40259893,127.0935477
556,2,서판교로-27,37.40248655,127.0941703
557,2,서판교로-28,37.39210776,127.0979202
558,2,서판교로-29,37.39210776,127.0979202
559,2,서판교로-30,37.38986825,127.100838
560,2,서판교로-31,37.38934524,127.099602
561,2,서판교로-32,37.38902277,127.0998543
562,2,서판교로-33,37.38893971,127.0995956
563,2,서판교로-34,37.38951266,127.1002889
564,2,서판교로-35,37.38935983,127.1003359
565,2,서판교로-36,37.38933941,127.1000199
566,2,서판교로-37,37.3890619,127.1002604
567,2,서판교로-38,37.3888636,127.1002515
568,2,서판교로-39,37.3891913,127.100688
569,2,서판교로-40,37.39210776,127.0979202
570,2,서판교로-41,37.38890427,127.1008608
571,2,서판교로-42,37.38948983,127.1008425
572,2,서판교로-43,37.39210776,127.0979202
573,2,서판교로-44,37.39044669,127.0998825
574,2,서판교로-45,37.3908324,127.1008378
575,2,서판교로-46,37.3910156,127.1000451
576,2,서판교로-47,37.39101242,127.1008131
577,2,서판교로-48,37.39101122,127.100655
578,2,서판교로-49,37.39108183,127.0980906
579,2,서판교로-50,37.39122377,127.0989811
580,2,서판교로-51,37.39125345,127.098145
581,2,서판교로-52,37.39123964,127.0986985
582,2,서판교로-53,37.39204677,127.0993778
583,2,서판교로-54,37.39210776,127.0979202
584,2,서판교로-55,37.39163823,127.0989761
585,2,서판교로-56,37.39143409,127.0993851
586,2,서판교로-57,37.3916057,127.0982537
587,2,서판교로-58,37.39165393,127.098671
588,2,서판교로-59,37.39140122,127.0986175
589,2,서판교로-60,37.3920514,127.0988018
590,2,서판교로-61,37.39259646,127.0993825
591,2,서판교로-62,37.39299676,127.0998859
592,2,서판교로-63,37.39321342,127.098754
593,2,서판교로-64,37.39321479,127.0989347
594,2,서판교로-65,37.39321617,127.0991153
595,2,서판교로-66,37.39259173,127.0987614
596,2,서판교로-67,37.39223598,127.0993755
597,2,서판교로-68,37.39235533,127.0984819
598,2,서판교로-69,37.3924414,127.0991359
599,2,서판교로-70,37.38744603,127.0998731
600,2,서판교로-71,37.38748756,127.1005954
601,2,서판교로-72,37.38751888,127.1011596
602,2,서판교로-73,37.39210776,127.0979202
