,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
505,링키영어 진접센트레빌점,경기도 남양주시 진접읍 부평로 42,경기도 남양주시 진접읍 부평리 764번지,37.740086549,127.2002147552,S
506,펀그라운드 진접,경기도 남양주시 진접읍 장현로 123,경기도 남양주시 진접읍 장현리 356-4번지,37.7206138408,127.1848500976,S
507,CU 장현광명점,경기도 남양주시 진접읍 봉현로 72,경기도 남양주시 진접읍 장현리 550-3번지,37.7192486609,127.1766522152,S
508,진접체육문화센터,경기도 남양주시 진접읍 금강로 1509-24,경기도 남양주시 진접읍 장현리 산25-39번지,37.72711634,127.1897248398,S
509,세일 컴퓨터 상사,경기도 남양주시 진접읍 광릉내로82번길 30,경기도 남양주시 진접읍 팔야리 779-5,37.7451332782,127.2071069516,S
510,블링블링마트,,경기도 남양주시 진접읍 팔야리 780,37.7451109973,127.2051577605,S
512,성심약국,경기도 남양주시 퇴계원읍 경춘북로 558,경기도 남양주시 퇴계원읍 퇴계원리 208-12,37.6480714716,127.1456967434,S
513,퇴계원우체국,경기도 남양주시 퇴계원읍 경춘북로 533,경기도 남양주시 퇴계원읍 퇴계원리 218-77,37.647639749,127.1430122124,S
514,오성슈퍼,경기도 남양주시 퇴계원읍 퇴계원로59번길 24,경기도 남양주시 퇴계원읍 퇴계원리 273-11,37.6535730184,127.1408525121,S
515,피자나라 치킨공주 퇴계원점,,경기도 남양주시 퇴계원읍 퇴계원리 366번지 주공아파트,37.6579597324,127.1458878432,S
516,용한약국,경기도 남양주시 퇴계원읍 퇴계원로 93,경기도 남양주시 퇴계원읍 퇴계원리 90,37.6548713984,127.1439752393,S
517,코렉스자전거,,경기도 남양주시 평내동 120-1,37.6513082526,127.2394557346,S
518,예스체인지문구점,경기도 남양주시 경춘로 1292-31,경기도 남양주시 평내동 269-4,37.6486731428,127.2380139359,S
519,예다움쌀마트,,경기도 남양주시 평내동 562,37.640388323,127.233327792,S
520,예다움 쌀마트,,경기도 남양주시 평내동 592,37.6469115398,127.2402872643,S
521,GS25시(평내데시앙점),경기도 남양주시 경춘로1286번길 39,경기도 남양주시 평내동 592 상록상가,37.6462686398,127.2389519014,S
522,인터넷공인중개사,,경기도 남양주시 평내동 599,37.6463528618,127.2403572233,S
523,파리바게뜨(평내점),경기도 남양주시 평내로 136,경기도 남양주시 평내동 599 중흥상가,37.6463528618,127.2403572233,S
524,인터넷공인중개사,,경기도 남양주시 평내동 599-0 인터넷공인중개사사무소,37.6463528618,127.2403572233,S
525,신명할인마트,경기도 남양주시 의안로 155-1,경기도 남양주시 평내동 601 신명상가,37.6440358564,127.2401045772,S
526,바른손문구,경기도 남양주시 의안로 155-1,경기도 남양주시 평내동 601 신명상가,37.6440358564,127.2401045772,S
527,크레파스문구점,경기도 남양주시 의안로 129-3,경기도 남양주시 평내동 604-5,37.6425528017,127.2379107461,S
