무인교통단속카메라관리번호,도로종류,도로노선번호,도로노선명,소재지지번주소,위도,경도,설치장소,설치연도
분당정자1-D-7,기타,,정자일로,경기도 성남시 분당구 정자동 174-1,37.361338,127.105543,스타파크 앞,2017
분당정자1-D-8,기타,,정자일로 232번길,경기도 성남시 분당구 정자1동 15-1,37.370847,127.107484,두산위브파빌리온앞,2020
분당정자1-D-9,기타,,정자일로,경기도 성남시 분당구 정자1동 165-1,37.36329,127.10622,엠코헤리츠,2021
분당정자1-D-10,기타,,성남대로,경기도 성남시 분당구 정자1동 6-3,37.372347,127.105785,늘푸른고등학교 삼거리 주변,2022
분당정자1-D-11,기타,,성남대로,경기도 성남시 분당구 정자1동 169-1,37.361212,127.106993,아데나루체아파트 정문,2022
분당정자1-D-12,기타,,정자일로,경기도 성남시 분당구 정자동 96-1,37.37061,127.10604,분당현대아이파크3단지아파트입구,2023
분당정자1-A-3,기타,,백현다릿길,경기도 성남시 분당구 정자1동 6-2,37.373847,127.104387,정자초등학교 정문,2021
분당정자1-A-9,기타,,황새울로,경기도 성남시 분당구 정자동 89,37.366582,127.11106,신기초등학교 주변,2014
분당정자1-A-11,기타,,정자일로,경기도 성남시 분당구 정자동 178-5,37.358334,127.105671,늘푸른초등학교 주변,2014
분당정자2-D-1,기타,,돌마로,,37.36619,127.11886,한솔초등학교 정문,2021
분당정자3-D-1,기타,,불정로,경기도 성남시 분당구 정자3동 211,37.359113,127.119363,이마트,2022
분당정자3-D-2,기타,,내정로,경기도 성남시 분당구 정자3동 257-1,37.36009,127.11467,계원삼거리,2023
분당정자3-A-11,기타,,돌마로,경기도 성남시 분당구 정자3동 203,37.3616,127.11908,불정초등학교 정문,2021
분당정자3-A-12,기타,,내정로,경기도 성남시 분당구 정자3동 195,37.36162,127.11488,탄천초등학교 정문,2021
분당서현1-D-1,지방도,57번,서현로,경기도 성남시 분당구 서현동 245-4,37.38712,127.125209,엘지에클라트 Ⅱ앞,2006
분당서현1-D-2,기타,,황새울로,경기도 성남시 분당구 서현동 259-3,37.387226,127.1205,성남교육지원청 앞,2008
분당서현1-D-3,기타,,황새울로,경기도 성남시 분당구 서현동 264,37.384261,127.123721,공항버스 정류장,2006
분당서현1-D-4,기타,,황새울로,경기도 성남시 분당구 서현동 254-1,37.387996,127.123291,풍림아이원 입구,2014
분당서현1-D-5,기타,,중앙공원로,경기도 성남시 분당구 서현1동 94-3,37.37842,127.13283,우성아파트 후문,2021
분당서현1-A-10,기타,,중앙공원로,경기도 성남시 분당구 서현동 92-1,37.378988,127.129653,분당초등학교 주변,2014
분당서현1-A-11,기타,,중앙공원로,경기도 성남시 분당구 서현동 87-1,37.382576,127.12855,서현초등학교 주변,2014
분당서현2-D-1,기타,,돌마로,경기도 성남시 분당구 서현동 298-3,37.376981,127.133437,효자촌 프라자,2006
분당서현2-D-2,기타,,장안로,경기도 성남시 분당구 서현동 312-1,37.372012,127.140796,수련어린이공원 인근,2024
분당서현2-A-7,기타,,돌마로,경기도 성남시 분당구 서현동 303,37.374602,127.134589,서당초등학교 주변,2014
분당서현2-A-8,기타,,불정로,경기도 성남시 분당구 서현동 319,37.37466,127.140091,양영초등학교 주변,2014
