연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
200,37.418609,127.136079,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
201,37.418426,127.136073,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
202,37.418544,127.135652,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
203,37.418548,127.135624,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
204,37.418669,127.134715,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
205,37.418688,127.134093,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
206,37.418661,127.133803,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
207,37.418693,127.133252,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
208,37.418694,127.132684,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
209,37.418696,127.132413,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
210,37.418695,127.131634,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
211,37.418695,127.130902,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
212,37.418483,127.133819,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
213,37.418483,127.134048,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
214,37.418093,127.133819,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
215,37.417926,127.134048,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
216,37.417591,127.133818,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
217,37.417316,127.133814,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
218,37.417314,127.134046,성남-01-012,성남시 중원구,성남여수초등학교,성남중원경찰서,2022-07-27
219,37.360387,127.114652,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
