종류,시설명,지정년월,권역,지역,리,도로명주소,데이터기준일자
초등학교,제암초등학교,2002-11-07,만세구,향남읍,발안리,화성시 만세구 향남읍 발안서로 21,2026-02-01
초등학교,월문초등학교,2005-11-08,만세구,팔탄면,월문리,화성시 만세구 팔탄면 버들로 1537,2026-02-01
초등학교,화수초등학교,2002-11-07,만세구,우정읍,화수리,화성시 만세구 우정읍 화수동길 145,2026-02-01
초등학교,우정초등학교,2005-11-08,만세구,우정읍,조암리,화성시 만세구 우정읍 버들로 138-10,2026-02-01
초등학교,장안초석포분교,2002-11-07,만세구,장안면,석포리,화성시 만세구 장안면 버들로 1201-9,2026-02-01
초등학교,석천초등학교,2002-11-07,만세구,우정읍,석천리,화성시 만세구 우정읍 석천길 52,2026-02-01
초등학교,노진초등학교,2005-11-08,만세구,장안면,노진리,화성시 만세구 장안면 화곡로 166,2026-02-01
초등학교,장명초등학교,2002-11-07,만세구,장안면,장안리,화성시 만세구 장안면 장명길 19-8,2026-02-01
초등학교,발안초등학교,2005-11-08,만세구,향남읍,행정리,화성시 만세구 향남읍 발안로 8,2026-02-01
초등학교,사창초등학교,2005-11-08,만세구,양감면,사창리,화성시 만세구 양감면 정문회화로 7,2026-02-01
초등학교,양감초등학교,2002-11-07,만세구,양감면,신왕리,화성시 만세구 양감면 초록로 49,2026-02-01
초등학교,행정초등학교,2008-10-01,만세구,향남읍,행정리,화성시 만세구 향남읍 행정중앙1로 77,2026-02-01
초등학교,도이초등학교,2008-10-01,만세구,향남읍,행정리,화성시 만세구 향남읍 행정동로 87,2026-02-01
초등학교,한울초등학교,2008-09-01,만세구,향남읍,행정리,화성시 만세구 향남읍 행정중앙1로 25,2026-02-01
초등학교,향남초등학교,2002-11-07,만세구,향남읍,백토리,화성시 만세구 향남읍 왜골길 7,2026-02-01
